Entity,Code,Year,Fertility rate - Sex: all - Age: all - Variant: estimates,Fertility rate - Sex: all - Age: all - Variant: medium
Ethiopia,ETH,2020,4.274,
Ethiopia,ETH,2021,4.177,
Ethiopia,ETH,2022,4.082,
Ethiopia,ETH,2023,3.989,
Ethiopia,ETH,2024,,3.909
Ethiopia,ETH,2025,,3.806
Ethiopia,ETH,2026,,3.723
Ethiopia,ETH,2027,,3.644
Ethiopia,ETH,2028,,3.567
Ethiopia,ETH,2029,,3.498
Ethiopia,ETH,2030,,3.43
Ethiopia,ETH,2031,,3.364
Ethiopia,ETH,2032,,3.303
Ethiopia,ETH,2033,,3.244
Ethiopia,ETH,2034,,3.188
Ethiopia,ETH,2035,,3.135
Ethiopia,ETH,2036,,3.082
Ethiopia,ETH,2037,,3.034
Ethiopia,ETH,2038,,2.989
Ethiopia,ETH,2039,,2.943
Ethiopia,ETH,2040,,2.902
Ethiopia,ETH,2041,,2.864
Ethiopia,ETH,2042,,2.828
Ethiopia,ETH,2043,,2.791
Ethiopia,ETH,2044,,2.754
Ethiopia,ETH,2045,,2.718
Ethiopia,ETH,2046,,2.682
Ethiopia,ETH,2047,,2.647
Ethiopia,ETH,2048,,2.618
Ethiopia,ETH,2049,,2.587
Ethiopia,ETH,2050,,2.554
Ethiopia,ETH,2051,,2.53
Ethiopia,ETH,2052,,2.501
Ethiopia,ETH,2053,,2.473
Ethiopia,ETH,2054,,2.448
Ethiopia,ETH,2055,,2.421
Ethiopia,ETH,2056,,2.4
Ethiopia,ETH,2057,,2.378
Ethiopia,ETH,2058,,2.357
Ethiopia,ETH,2059,,2.337
Ethiopia,ETH,2060,,2.317
Ethiopia,ETH,2061,,2.298
Ethiopia,ETH,2062,,2.279
Ethiopia,ETH,2063,,2.261
Ethiopia,ETH,2064,,2.243
Ethiopia,ETH,2065,,2.227
Ethiopia,ETH,2066,,2.212
Ethiopia,ETH,2067,,2.196
Ethiopia,ETH,2068,,2.18
Ethiopia,ETH,2069,,2.164
Ethiopia,ETH,2070,,2.151
Ethiopia,ETH,2071,,2.138
Ethiopia,ETH,2072,,2.126
Ethiopia,ETH,2073,,2.113
Ethiopia,ETH,2074,,2.101
Ethiopia,ETH,2075,,2.087
Ethiopia,ETH,2076,,2.077
Ethiopia,ETH,2077,,2.065
Ethiopia,ETH,2078,,2.051
Ethiopia,ETH,2079,,2.038
Ethiopia,ETH,2080,,2.027
Ethiopia,ETH,2081,,2.019
Ethiopia,ETH,2082,,2.009
Ethiopia,ETH,2083,,1.999
Ethiopia,ETH,2084,,1.989
Ethiopia,ETH,2085,,1.978
Ethiopia,ETH,2086,,1.97
Ethiopia,ETH,2087,,1.962
Ethiopia,ETH,2088,,1.957
Ethiopia,ETH,2089,,1.949
Ethiopia,ETH,2090,,1.941
Ethiopia,ETH,2091,,1.935
Ethiopia,ETH,2092,,1.929
Ethiopia,ETH,2093,,1.923
Ethiopia,ETH,2094,,1.916
Ethiopia,ETH,2095,,1.91
Ethiopia,ETH,2096,,1.904
Ethiopia,ETH,2097,,1.897
Ethiopia,ETH,2098,,1.891
Ethiopia,ETH,2099,,1.886
Ethiopia,ETH,2100,,1.88
Iran,IRN,1950,6.97,
Iran,IRN,1951,6.977,
Iran,IRN,1952,7.005,
Iran,IRN,1953,7.026,
Iran,IRN,1954,7.048,
Iran,IRN,1955,7.151,
Iran,IRN,1956,7.249,
Iran,IRN,1957,7.354,
Iran,IRN,1958,7.458,
Iran,IRN,1959,7.571,
Iran,IRN,1960,7.519,
Iran,IRN,1961,7.459,
Iran,IRN,1962,7.401,
Iran,IRN,1963,7.317,
Iran,IRN,1964,7.237,
Iran,IRN,1965,7.222,
Iran,IRN,1966,7.214,
Iran,IRN,1967,7.19,
Iran,IRN,1968,7.119,
Iran,IRN,1969,7.007,
Iran,IRN,1970,6.798,
Iran,IRN,1971,6.549,
Iran,IRN,1972,6.257,
Iran,IRN,1973,6.061,
Iran,IRN,1974,5.968,
Iran,IRN,1975,5.947,
Iran,IRN,1976,6.066,
Iran,IRN,1977,6.179,
Iran,IRN,1978,6.344,
Iran,IRN,1979,6.549,
Iran,IRN,1980,6.63,
Iran,IRN,1981,6.618,
Iran,IRN,1982,6.586,
Iran,IRN,1983,6.528,
Iran,IRN,1984,6.433,
Iran,IRN,1985,6.242,
Iran,IRN,1986,6.011,
Iran,IRN,1987,5.719,
Iran,IRN,1988,5.434,
Iran,IRN,1989,5.172,
Iran,IRN,1990,4.934,
Iran,IRN,1991,4.568,
Iran,IRN,1992,4.099,
Iran,IRN,1993,3.674,
Iran,IRN,1994,3.244,
Iran,IRN,1995,2.852,
Iran,IRN,1996,2.542,
Iran,IRN,1997,2.323,
Iran,IRN,1998,2.19,
Iran,IRN,1999,2.089,
Iran,IRN,2000,1.999,
Iran,IRN,2001,1.918,
Iran,IRN,2002,1.836,
Iran,IRN,2003,1.801,
Iran,IRN,2004,1.78,
Iran,IRN,2005,1.756,
Iran,IRN,2006,1.755,
Iran,IRN,2007,1.748,
Iran,IRN,2008,1.743,
Iran,IRN,2009,1.74,
Iran,IRN,2010,1.749,
Iran,IRN,2011,1.792,
Iran,IRN,2012,1.851,
Iran,IRN,2013,1.913,
Iran,IRN,2014,1.975,
Iran,IRN,2015,2.017,
Iran,IRN,2016,2.054,
Iran,IRN,2017,2.023,
Iran,IRN,2018,1.919,
Iran,IRN,2019,1.766,
Iran,IRN,2020,1.7,
Iran,IRN,2021,1.709,
Iran,IRN,2022,1.704,
Iran,IRN,2023,1.695,
Iran,IRN,2024,,1.684
Iran,IRN,2025,,1.67
Iran,IRN,2026,,1.658
Iran,IRN,2027,,1.651
Iran,IRN,2028,,1.645
Iran,IRN,2029,,1.639
Iran,IRN,2030,,1.633
Iran,IRN,2031,,1.629
Iran,IRN,2032,,1.627
Iran,IRN,2033,,1.627
Iran,IRN,2034,,1.629
Iran,IRN,2035,,1.63
Iran,IRN,2036,,1.63
Iran,IRN,2037,,1.629
Iran,IRN,2038,,1.627
Iran,IRN,2039,,1.627
Iran,IRN,2040,,1.628
Iran,IRN,2041,,1.629
Iran,IRN,2042,,1.628
Iran,IRN,2043,,1.629
Iran,IRN,2044,,1.628
Iran,IRN,2045,,1.628
Iran,IRN,2046,,1.629
Iran,IRN,2047,,1.628
Iran,IRN,2048,,1.629
Iran,IRN,2049,,1.626
Iran,IRN,2050,,1.626
Iran,IRN,2051,,1.627
Iran,IRN,2052,,1.629
Iran,IRN,2053,,1.632
Iran,IRN,2054,,1.632
Iran,IRN,2055,,1.632
Iran,IRN,2056,,1.633
Iran,IRN,2057,,1.633
Iran,IRN,2058,,1.634
Iran,IRN,2059,,1.634
Iran,IRN,2060,,1.634
Iran,IRN,2061,,1.635
Iran,IRN,2062,,1.633
Iran,IRN,2063,,1.636
Iran,IRN,2064,,1.636
Iran,IRN,2065,,1.638
Iran,IRN,2066,,1.64
Iran,IRN,2067,,1.639
Iran,IRN,2068,,1.638
Iran,IRN,2069,,1.638
Iran,IRN,2070,,1.637
Iran,IRN,2071,,1.636
Iran,IRN,2072,,1.637
Iran,IRN,2073,,1.635
Iran,IRN,2074,,1.634
Iran,IRN,2075,,1.634
Iran,IRN,2076,,1.632
Iran,IRN,2077,,1.634
Iran,IRN,2078,,1.633
Iran,IRN,2079,,1.633
Iran,IRN,2080,,1.631
Iran,IRN,2081,,1.631
Iran,IRN,2082,,1.631
Iran,IRN,2083,,1.632
Iran,IRN,2084,,1.631
Iran,IRN,2085,,1.631
Iran,IRN,2086,,1.632
Iran,IRN,2087,,1.63
Iran,IRN,2088,,1.631
Iran,IRN,2089,,1.631
Iran,IRN,2090,,1.635
Iran,IRN,2091,,1.634
Iran,IRN,2092,,1.634
Iran,IRN,2093,,1.636
Iran,IRN,2094,,1.635
Iran,IRN,2095,,1.635
Iran,IRN,2096,,1.635
Iran,IRN,2097,,1.637
Iran,IRN,2098,,1.638
Iran,IRN,2099,,1.638
Iran,IRN,2100,,1.636
Latvia,LVA,1950,2.075,
Latvia,LVA,1951,2.01,
Latvia,LVA,1952,1.942,
Latvia,LVA,1953,1.846,
Latvia,LVA,1954,1.92,
Latvia,LVA,1955,1.881,
Latvia,LVA,1956,1.837,
Latvia,LVA,1957,1.868,
Latvia,LVA,1958,1.917,
Latvia,LVA,1959,1.922,
Latvia,LVA,1960,1.941,
Latvia,LVA,1961,1.964,
Latvia,LVA,1962,1.915,
Latvia,LVA,1963,1.851,
Latvia,LVA,1964,1.813,
Latvia,LVA,1965,1.729,
Latvia,LVA,1966,1.786,
Latvia,LVA,1967,1.819,
Latvia,LVA,1968,1.86,
Latvia,LVA,1969,1.88,
Latvia,LVA,1970,1.964,
Latvia,LVA,1971,2.023,
Latvia,LVA,1972,2.009,
Latvia,LVA,1973,1.946,
Latvia,LVA,1974,1.978,
Latvia,LVA,1975,1.948,
Latvia,LVA,1976,1.912,
Latvia,LVA,1977,1.87,
Latvia,LVA,1978,1.848,
Latvia,LVA,1979,1.85,
Latvia,LVA,1980,1.876,
Latvia,LVA,1981,1.874,
Latvia,LVA,1982,1.953,
Latvia,LVA,1983,2.097,
Latvia,LVA,1984,2.112,
Latvia,LVA,1985,2.061,
Latvia,LVA,1986,2.173,
Latvia,LVA,1987,2.179,
Latvia,LVA,1988,2.14,
Latvia,LVA,1989,2.029,
Latvia,LVA,1990,1.987,
Latvia,LVA,1991,1.844,
Latvia,LVA,1992,1.72,
Latvia,LVA,1993,1.503,
Latvia,LVA,1994,1.384,
Latvia,LVA,1995,1.252,
Latvia,LVA,1996,1.161,
Latvia,LVA,1997,1.117,
Latvia,LVA,1998,1.104,
Latvia,LVA,1999,1.171,
Latvia,LVA,2000,1.244,
Latvia,LVA,2001,1.223,
Latvia,LVA,2002,1.258,
Latvia,LVA,2003,1.322,
Latvia,LVA,2004,1.297,
Latvia,LVA,2005,1.389,
Latvia,LVA,2006,1.464,
Latvia,LVA,2007,1.542,
Latvia,LVA,2008,1.585,
Latvia,LVA,2009,1.472,
Latvia,LVA,2010,1.367,
Latvia,LVA,2011,1.343,
Latvia,LVA,2012,1.444,
Latvia,LVA,2013,1.527,
Latvia,LVA,2014,1.646,
Latvia,LVA,2015,1.706,
Latvia,LVA,2016,1.742,
Latvia,LVA,2017,1.698,
Latvia,LVA,2018,1.612,
Latvia,LVA,2019,1.609,
Latvia,LVA,2020,1.546,
Latvia,LVA,2021,1.572,
Latvia,LVA,2022,1.47,
Latvia,LVA,2023,1.338,
Latvia,LVA,2024,,1.342
Latvia,LVA,2025,,1.347
Latvia,LVA,2026,,1.354
Latvia,LVA,2027,,1.361
Latvia,LVA,2028,,1.365
Latvia,LVA,2029,,1.369
Latvia,LVA,2030,,1.374
Latvia,LVA,2031,,1.378
Latvia,LVA,2032,,1.383
Latvia,LVA,2033,,1.386
Latvia,LVA,2034,,1.391
Latvia,LVA,2035,,1.394
Latvia,LVA,2036,,1.398
Latvia,LVA,2037,,1.401
Latvia,LVA,2038,,1.404
Latvia,LVA,2039,,1.406
Latvia,LVA,2040,,1.41
Latvia,LVA,2041,,1.414
Latvia,LVA,2042,,1.416
Latvia,LVA,2043,,1.419
Latvia,LVA,2044,,1.421
Latvia,LVA,2045,,1.425
Latvia,LVA,2046,,1.43
Latvia,LVA,2047,,1.433
Latvia,LVA,2048,,1.439
Latvia,LVA,2049,,1.44
Latvia,LVA,2050,,1.443
Latvia,LVA,2051,,1.444
Latvia,LVA,2052,,1.446
Latvia,LVA,2053,,1.448
Latvia,LVA,2054,,1.45
Latvia,LVA,2055,,1.454
Latvia,LVA,2056,,1.456
Latvia,LVA,2057,,1.458
Latvia,LVA,2058,,1.462
Latvia,LVA,2059,,1.466
Latvia,LVA,2060,,1.468
Latvia,LVA,2061,,1.472
Latvia,LVA,2062,,1.474
Latvia,LVA,2063,,1.477
Latvia,LVA,2064,,1.479
Latvia,LVA,2065,,1.48
Latvia,LVA,2066,,1.482
Latvia,LVA,2067,,1.483
Latvia,LVA,2068,,1.485
Latvia,LVA,2069,,1.484
Latvia,LVA,2070,,1.486
Latvia,LVA,2071,,1.488
Latvia,LVA,2072,,1.49
Latvia,LVA,2073,,1.492
Latvia,LVA,2074,,1.493
Latvia,LVA,2075,,1.493
Latvia,LVA,2076,,1.496
Latvia,LVA,2077,,1.497
Latvia,LVA,2078,,1.499
Latvia,LVA,2079,,1.497
Latvia,LVA,2080,,1.497
Latvia,LVA,2081,,1.498
Latvia,LVA,2082,,1.498
Latvia,LVA,2083,,1.497
Latvia,LVA,2084,,1.497
Latvia,LVA,2085,,1.497
Latvia,LVA,2086,,1.499
Latvia,LVA,2087,,1.501
Latvia,LVA,2088,,1.502
Latvia,LVA,2089,,1.504
Latvia,LVA,2090,,1.504
Latvia,LVA,2091,,1.506
Latvia,LVA,2092,,1.509
Latvia,LVA,2093,,1.509
Latvia,LVA,2094,,1.512
Latvia,LVA,2095,,1.512
Latvia,LVA,2096,,1.514
Latvia,LVA,2097,,1.516
Latvia,LVA,2098,,1.518
Latvia,LVA,2099,,1.517
Latvia,LVA,2100,,1.516
Namibia,NAM,1950,5.614,
Namibia,NAM,1951,5.677,
Namibia,NAM,1952,5.743,
Namibia,NAM,1953,5.807,
Namibia,NAM,1954,5.87,
Namibia,NAM,1955,5.935,
Namibia,NAM,1956,5.997,
Namibia,NAM,1957,6.06,
Namibia,NAM,1958,6.132,
Namibia,NAM,1959,6.186,
Namibia,NAM,1960,6.243,
Namibia,NAM,1961,6.293,
Namibia,NAM,1962,6.35,
Namibia,NAM,1963,6.408,
Namibia,NAM,1964,6.428,
Namibia,NAM,1965,6.445,
Namibia,NAM,1966,6.472,
Namibia,NAM,1967,6.485,
Namibia,NAM,1968,6.502,
Namibia,NAM,1969,6.508,
Namibia,NAM,1970,6.52,
Namibia,NAM,1971,6.521,
Namibia,NAM,1972,6.533,
Namibia,NAM,1973,6.54,
Namibia,NAM,1974,6.552,
Namibia,NAM,1975,6.533,
Namibia,NAM,1976,6.494,
Namibia,NAM,1977,6.441,
Namibia,NAM,1978,6.384,
Namibia,NAM,1979,6.314,
Namibia,NAM,1980,6.238,
Namibia,NAM,1981,6.159,
Namibia,NAM,1982,6.078,
Namibia,NAM,1983,5.995,
Namibia,NAM,1984,5.94,
Namibia,NAM,1985,5.877,
Namibia,NAM,1986,5.793,
Namibia,NAM,1987,5.699,
Namibia,NAM,1988,5.609,
Namibia,NAM,1989,5.517,
Namibia,NAM,1990,5.398,
Namibia,NAM,1991,5.29,
Namibia,NAM,1992,5.107,
