Entity,Code,Year,fertility_rate_hist
Ethiopia,ETH,1959,6.494
Ethiopia,ETH,1960,6.514
Ethiopia,ETH,1961,6.533
Ethiopia,ETH,1962,6.561
Ethiopia,ETH,1963,6.586
Ethiopia,ETH,1964,6.612
Ethiopia,ETH,1965,6.63
Ethiopia,ETH,1966,6.661
Ethiopia,ETH,1967,6.684
Ethiopia,ETH,1968,6.7
Ethiopia,ETH,1969,6.719
Ethiopia,ETH,1970,6.782
Ethiopia,ETH,1971,6.838
Ethiopia,ETH,1972,6.895
Ethiopia,ETH,1973,6.962
Ethiopia,ETH,1974,7.018
Ethiopia,ETH,1975,7.079
Ethiopia,ETH,1976,7.129
Ethiopia,ETH,1977,7.189
Ethiopia,ETH,1978,7.229
Ethiopia,ETH,1979,7.248
Ethiopia,ETH,1980,7.287
Ethiopia,ETH,1981,7.313
Ethiopia,ETH,1982,7.337
Ethiopia,ETH,1983,7.351
Ethiopia,ETH,1984,7.356
Ethiopia,ETH,1985,7.338
Ethiopia,ETH,1986,7.318
Ethiopia,ETH,1987,7.293
Ethiopia,ETH,1988,7.262
Ethiopia,ETH,1989,7.229
Ethiopia,ETH,1990,7.196
Ethiopia,ETH,1991,7.161
Ethiopia,ETH,1992,7.125
Ethiopia,ETH,1993,7.088
Ethiopia,ETH,1994,7.051
Ethiopia,ETH,1995,6.998
Ethiopia,ETH,1996,6.928
Ethiopia,ETH,1997,6.869
Ethiopia,ETH,1998,6.792
Ethiopia,ETH,1999,6.721
Ethiopia,ETH,2000,6.654
Ethiopia,ETH,2001,6.579
Ethiopia,ETH,2002,6.499
Ethiopia,ETH,2003,6.4
Ethiopia,ETH,2004,6.301
Ethiopia,ETH,2005,6.194
Ethiopia,ETH,2006,6.047
Ethiopia,ETH,2007,5.887
Ethiopia,ETH,2008,5.695
Ethiopia,ETH,2009,5.488
Ethiopia,ETH,2010,5.282
Ethiopia,ETH,2011,5.08
Ethiopia,ETH,2012,4.887
Ethiopia,ETH,2013,4.708
Ethiopia,ETH,2014,4.605
Ethiopia,ETH,2015,4.529
Ethiopia,ETH,2016,4.473
Ethiopia,ETH,2017,4.401
Ethiopia,ETH,2018,4.371
Ethiopia,ETH,2019,4.347
Ethiopia,ETH,2020,4.274
Ethiopia,ETH,2021,4.177
Ethiopia,ETH,2022,4.082
Ethiopia,ETH,2023,3.989
Iran,IRN,1953,7.026
Iran,IRN,1954,7.048
Iran,IRN,1955,7.151
Iran,IRN,1956,7.249
Iran,IRN,1957,7.354
Iran,IRN,1958,7.458
Iran,IRN,1959,7.571
Iran,IRN,1960,7.519
Iran,IRN,1961,7.459
Iran,IRN,1962,7.401
Iran,IRN,1963,7.317
Iran,IRN,1964,7.237
Iran,IRN,1965,7.222
Iran,IRN,1966,7.214
Iran,IRN,1967,7.19
Iran,IRN,1968,7.119
Iran,IRN,1969,7.007
Iran,IRN,1970,6.798
Iran,IRN,1971,6.549
Iran,IRN,1972,6.257
Iran,IRN,1973,6.061
Iran,IRN,1974,5.968
Iran,IRN,1975,5.947
Iran,IRN,1976,6.066
Iran,IRN,1977,6.179
Iran,IRN,1978,6.344
Iran,IRN,1979,6.549
Iran,IRN,1980,6.63
Iran,IRN,1981,6.618
Iran,IRN,1982,6.586
Iran,IRN,1983,6.528
Iran,IRN,1984,6.433
Iran,IRN,1985,6.242
Iran,IRN,1986,6.011
Iran,IRN,1987,5.719
Iran,IRN,1988,5.434
Iran,IRN,1989,5.172
Iran,IRN,1990,4.934
Iran,IRN,1991,4.568
Iran,IRN,1992,4.099
Iran,IRN,1993,3.674
Iran,IRN,1994,3.244
Iran,IRN,1995,2.852
Iran,IRN,1996,2.542
Iran,IRN,1997,2.323
Iran,IRN,1998,2.19
Iran,IRN,1999,2.089
Iran,IRN,2000,1.999
Iran,IRN,2001,1.918
Iran,IRN,2002,1.836
Iran,IRN,2003,1.801
Iran,IRN,2004,1.78
Iran,IRN,2005,1.756
Iran,IRN,2006,1.755
Iran,IRN,2007,1.748
Iran,IRN,2008,1.743
Iran,IRN,2009,1.74
Iran,IRN,2010,1.749
Iran,IRN,2011,1.792
Iran,IRN,2012,1.851
Iran,IRN,2013,1.913
Iran,IRN,2014,1.975
Iran,IRN,2015,2.017
Iran,IRN,2016,2.054
Iran,IRN,2017,2.023
Iran,IRN,2018,1.919
Iran,IRN,2019,1.766
Iran,IRN,2020,1.7
Iran,IRN,2021,1.709
Iran,IRN,2022,1.704
Iran,IRN,2023,1.695
Latvia,LVA,1953,1.846
Latvia,LVA,1954,1.92
Latvia,LVA,1955,1.881
Latvia,LVA,1956,1.837
Latvia,LVA,1957,1.868
Latvia,LVA,1958,1.917
Latvia,LVA,1959,1.922
Latvia,LVA,1960,1.941
Latvia,LVA,1961,1.964
Latvia,LVA,1962,1.915
Latvia,LVA,1963,1.851
Latvia,LVA,1964,1.813
Latvia,LVA,1965,1.729
Latvia,LVA,1966,1.786
Latvia,LVA,1967,1.819
Latvia,LVA,1968,1.86
Latvia,LVA,1969,1.88
Latvia,LVA,1970,1.964
Latvia,LVA,1971,2.023
Latvia,LVA,1972,2.009
Latvia,LVA,1973,1.946
Latvia,LVA,1974,1.978
Latvia,LVA,1975,1.948
Latvia,LVA,1976,1.912
Latvia,LVA,1977,1.87
Latvia,LVA,1978,1.848
Latvia,LVA,1979,1.85
Latvia,LVA,1980,1.876
Latvia,LVA,1981,1.874
Latvia,LVA,1982,1.953
Latvia,LVA,1983,2.097
Latvia,LVA,1984,2.112
Latvia,LVA,1985,2.061
Latvia,LVA,1986,2.173
Latvia,LVA,1987,2.179
Latvia,LVA,1988,2.14
Latvia,LVA,1989,2.029
Latvia,LVA,1990,1.987
Latvia,LVA,1991,1.844
Latvia,LVA,1992,1.72
Latvia,LVA,1993,1.503
Latvia,LVA,1994,1.384
Latvia,LVA,1995,1.252
Latvia,LVA,1996,1.161
Latvia,LVA,1997,1.117
Latvia,LVA,1998,1.104
Latvia,LVA,1999,1.171
Latvia,LVA,2000,1.244
Latvia,LVA,2001,1.223
Latvia,LVA,2002,1.258
Latvia,LVA,2003,1.322
Latvia,LVA,2004,1.297
Latvia,LVA,2005,1.389
Latvia,LVA,2006,1.464
Latvia,LVA,2007,1.542
Latvia,LVA,2008,1.585
Latvia,LVA,2009,1.472
Latvia,LVA,2010,1.367
Latvia,LVA,2011,1.343
Latvia,LVA,2012,1.444
Latvia,LVA,2013,1.527
Latvia,LVA,2014,1.646
Latvia,LVA,2015,1.706
Latvia,LVA,2016,1.742
Latvia,LVA,2017,1.698
Latvia,LVA,2018,1.612
Latvia,LVA,2019,1.609
Latvia,LVA,2020,1.546
Latvia,LVA,2021,1.572
Latvia,LVA,2022,1.47
Latvia,LVA,2023,1.338
Namibia,NAM,1953,5.807
Namibia,NAM,1954,5.87
Namibia,NAM,1955,5.935
Namibia,NAM,1956,5.997
Namibia,NAM,1957,6.06
Namibia,NAM,1958,6.132
Namibia,NAM,1959,6.186
Namibia,NAM,1960,6.243
Namibia,NAM,1961,6.293
Namibia,NAM,1962,6.35
Namibia,NAM,1963,6.408
Namibia,NAM,1964,6.428
Namibia,NAM,1965,6.445
Namibia,NAM,1966,6.472
Namibia,NAM,1967,6.485
Namibia,NAM,1968,6.502
Namibia,NAM,1969,6.508
Namibia,NAM,1970,6.52
Namibia,NAM,1971,6.521
Namibia,NAM,1972,6.533
Namibia,NAM,1973,6.54
Namibia,NAM,1974,6.552
Namibia,NAM,1975,6.533
Namibia,NAM,1976,6.494
Namibia,NAM,1977,6.441
Namibia,NAM,1978,6.384
Namibia,NAM,1979,6.314
Namibia,NAM,1980,6.238
Namibia,NAM,1981,6.159
Namibia,NAM,1982,6.078
Namibia,NAM,1983,5.995
Namibia,NAM,1984,5.94
Namibia,NAM,1985,5.877
Namibia,NAM,1986,5.793
Namibia,NAM,1987,5.699
Namibia,NAM,1988,5.609
Namibia,NAM,1989,5.517
Namibia,NAM,1990,5.398
Namibia,NAM,1991,5.29
Namibia,NAM,1992,5.107
Namibia,NAM,1993,4.905
Namibia,NAM,1994,4.676
Namibia,NAM,1995,4.417
Namibia,NAM,1996,4.201
Namibia,NAM,1997,4.166
Namibia,NAM,1998,4.176
Namibia,NAM,1999,4.138
Namibia,NAM,2000,3.991
Namibia,NAM,2001,3.827
Namibia,NAM,2002,3.693
Namibia,NAM,2003,3.58
Namibia,NAM,2004,3.545
Namibia,NAM,2005,3.571
Namibia,NAM,2006,3.601
Namibia,NAM,2007,3.608
Namibia,NAM,2008,3.616
Namibia,NAM,2009,3.633
Namibia,NAM,2010,3.657
Namibia,NAM,2011,3.658
Namibia,NAM,2012,3.676
Namibia,NAM,2013,3.653
Namibia,NAM,2014,3.635
Namibia,NAM,2015,3.604
Namibia,NAM,2016,3.574
Namibia,NAM,2017,3.511
Namibia,NAM,2018,3.462
Namibia,NAM,2019,3.404
Namibia,NAM,2020,3.349
Namibia,NAM,2021,3.303
Namibia,NAM,2022,3.248
Namibia,NAM,2023,3.212
Nauru,NRU,1953,4.79
Nauru,NRU,1954,4.882
Nauru,NRU,1955,4.956
Nauru,NRU,1956,5.026
Nauru,NRU,1957,5.09
Nauru,NRU,1958,5.17
Nauru,NRU,1959,5.273
Nauru,NRU,1960,5.337
Nauru,NRU,1961,5.376
Nauru,NRU,1962,5.423
Nauru,NRU,1963,5.441
Nauru,NRU,1964,5.473
Nauru,NRU,1965,5.476
Nauru,NRU,1966,5.412
Nauru,NRU,1967,5.294
Nauru,NRU,1968,5.139
Nauru,NRU,1969,4.942
Nauru,NRU,1970,4.74
Nauru,NRU,1971,4.541
Nauru,NRU,1972,4.355
Nauru,NRU,1973,4.192
Nauru,NRU,1974,4.067
Nauru,NRU,1975,3.972
Nauru,NRU,1976,3.899
Nauru,NRU,1977,3.858
Nauru,NRU,1978,3.843
Nauru,NRU,1979,3.847
Nauru,NRU,1980,3.878
Nauru,NRU,1981,3.935
Nauru,NRU,1982,3.993
Nauru,NRU,1983,4.056
Nauru,NRU,1984,4.108
Nauru,NRU,1985,4.144
Nauru,NRU,1986,4.149
Nauru,NRU,1987,4.143
Nauru,NRU,1988,4.114
Nauru,NRU,1989,4.068
Nauru,NRU,1990,4.02
Nauru,NRU,1991,3.991
Nauru,NRU,1992,3.952
Nauru,NRU,1993,3.887
Nauru,NRU,1994,3.837
Nauru,NRU,1995,3.808
Nauru,NRU,1996,3.775
Nauru,NRU,1997,3.738
Nauru,NRU,1998,3.683
Nauru,NRU,1999,3.636
Nauru,NRU,2000,3.543
Nauru,NRU,2001,3.461
Nauru,NRU,2002,3.4
Nauru,NRU,2003,3.388
Nauru,NRU,2004,3.378
Nauru,NRU,2005,3.377
Nauru,NRU,2006,3.4
Nauru,NRU,2007,3.504
Nauru,NRU,2008,3.665
Nauru,NRU,2009,3.847
Nauru,NRU,2010,4.019
Nauru,NRU,2011,4.117
Nauru,NRU,2012,4.115
Nauru,NRU,2013,4.098
Nauru,NRU,2014,4.085
Nauru,NRU,2015,4.075
Nauru,NRU,2016,4.027
Nauru,NRU,2017,3.879
Nauru,NRU,2018,3.683
Nauru,NRU,2019,3.531
Nauru,NRU,2020,3.466
Nauru,NRU,2021,3.425
Nauru,NRU,2022,3.379
Nauru,NRU,2023,3.331
New Zealand,NZL,1953,3.655
New Zealand,NZL,1954,3.778
New Zealand,NZL,1955,3.88
New Zealand,NZL,1956,3.979
New Zealand,NZL,1957,4.031
New Zealand,NZL,1958,4.11
New Zealand,NZL,1959,4.179
New Zealand,NZL,1960,4.241
New Zealand,NZL,1961,4.306
New Zealand,NZL,1962,4.159
New Zealand,NZL,1963,4.046
New Zealand,NZL,1964,3.776
New Zealand,NZL,1965,3.537
New Zealand,NZL,1966,3.42
New Zealand,NZL,1967,3.35
New Zealand,NZL,1968,3.335
New Zealand,NZL,1969,3.273
New Zealand,NZL,1970,3.168
New Zealand,NZL,1971,3.18
New Zealand,NZL,1972,2.998
New Zealand,NZL,1973,2.738
New Zealand,NZL,1974,2.574
New Zealand,NZL,1975,2.357
New Zealand,NZL,1976,2.27
New Zealand,NZL,1977,2.213
New Zealand,NZL,1978,2.077
New Zealand,NZL,1979,2.113
New Zealand,NZL,1980,2.032
New Zealand,NZL,1981,2.011
New Zealand,NZL,1982,1.947
New Zealand,NZL,1983,1.92
New Zealand,NZL,1984,1.928
New Zealand,NZL,1985,1.93
New Zealand,NZL,1986,1.96
New Zealand,NZL,1987,2.029
New Zealand,NZL,1988,2.098
New Zealand,NZL,1989,2.121
New Zealand,NZL,1990,2.167
New Zealand,NZL,1991,2.092
New Zealand,NZL,1992,2.06
New Zealand,NZL,1993,2.038
New Zealand,NZL,1994,1.982
New Zealand,NZL,1995,1.979
New Zealand,NZL,1996,1.961
New Zealand,NZL,1997,1.956
New Zealand,NZL,1998,1.895
New Zealand,NZL,1999,1.966
New Zealand,NZL,2000,1.977
New Zealand,NZL,2001,1.964
New Zealand,NZL,2002,1.892
New Zealand,NZL,2003,1.929
New Zealand,NZL,2004,1.976
New Zealand,NZL,2005,1.961
New Zealand,NZL,2006,2.01
New Zealand,NZL,2007,2.169
New Zealand,NZL,2008,2.187
New Zealand,NZL,2009,2.133
New Zealand,NZL,2010,2.165
New Zealand,NZL,2011,2.096
New Zealand,NZL,2012,2.087
New Zealand,NZL,2013,2.004
New Zealand,NZL,2014,1.925
New Zealand,NZL,2015,1.982
New Zealand,NZL,2016,1.876
New Zealand,NZL,2017,1.811
New Zealand,NZL,2018,1.719
New Zealand,NZL,2019,1.717
New Zealand,NZL,2020,1.63
New Zealand,NZL,2021,1.647
New Zealand,NZL,2022,1.665
New Zealand,NZL,2023,1.667
Nicaragua,NIC,1953,7.096
Nicaragua,NIC,1954,7.105
Nicaragua,NIC,1955,7.123
Nicaragua,NIC,1956,7.139
Nicaragua,NIC,1957,7.152
Nicaragua,NIC,1958,7.159
Nicaragua,NIC,1959,7.163
Nicaragua,NIC,1960,7.159
Nicaragua,NIC,1961,7.112
Nicaragua,NIC,1962,7.1
Nicaragua,NIC,1963,7.081
Nicaragua,NIC,1964,7.064
Nicaragua,NIC,1965,7.033
Nicaragua,NIC,1966,6.99
Nicaragua,NIC,1967,6.94
Nicaragua,NIC,1968,6.885
Nicaragua,NIC,1969,6.825
Nicaragua,NIC,1970,6.773
Nicaragua,NIC,1971,6.714
Nicaragua,NIC,1972,6.653
Nicaragua,NIC,1973,6.586
Nicaragua,NIC,1974,6.521
Nicaragua,NIC,1975,6.445
Nicaragua,NIC,1976,6.366
Nicaragua,NIC,1977,6.28
Nicaragua,NIC,1978,6.164
Nicaragua,NIC,1979,6.069
Nicaragua,NIC,1980,5.959
Nicaragua,NIC,1981,5.84
Nicaragua,NIC,1982,5.737
Nicaragua,NIC,1983,5.611
Nicaragua,NIC,1984,5.488
Nicaragua,NIC,1985,5.359
Nicaragua,NIC,1986,5.217
Nicaragua,NIC,1987,5.073
Nicaragua,NIC,1988,4.931
Nicaragua,NIC,1989,4.762
Nicaragua,NIC,1990,4.596
Nicaragua,NIC,1991,4.432
Nicaragua,NIC,1992,4.267
Nicaragua,NIC,1993,4.102
Nicaragua,NIC,1994,3.937
Nicaragua,NIC,1995,3.775
Nicaragua,NIC,1996,3.62
Nicaragua,NIC,1997,3.473
Nicaragua,NIC,1998,3.339
Nicaragua,NIC,1999,3.218
Nicaragua,NIC,2000,3.12
Nicaragua,NIC,2001,2.996
Nicaragua,NIC,2002,2.887
Nicaragua,NIC,2003,2.827
Nicaragua,NIC,2004,2.784
Nicaragua,NIC,2005,2.765
Nicaragua,NIC,2006,2.733
Nicaragua,NIC,2007,2.697
Nicaragua,NIC,2008,2.66
Nicaragua,NIC,2009,2.626
Nicaragua,NIC,2010,2.596
Nicaragua,NIC,2011,2.558
Nicaragua,NIC,2012,2.527
Nicaragua,NIC,2013,2.492
Nicaragua,NIC,2014,2.463
Nicaragua,NIC,2015,2.434
Nicaragua,NIC,2016,2.407
Nicaragua,NIC,2017,2.378
Nicaragua,NIC,2018,2.347
Nicaragua,NIC,2019,2.321
Nicaragua,NIC,2020,2.299
Nicaragua,NIC,2021,2.265
Nicaragua,NIC,2022,2.24
Nicaragua,NIC,2023,2.218
Niger,NER,1953,7.552
Niger,NER,1954,7.554
Niger,NER,1955,7.551
Niger,NER,1956,7.542
Niger,NER,1957,7.542
Niger,NER,1958,7.542
Niger,NER,1959,7.528
Niger,NER,1960,7.53
Niger,NER,1961,7.512
Niger,NER,1962,7.501
Niger,NER,1963,7.489
Niger,NER,1964,7.48
Niger,NER,1965,7.466
Niger,NER,1966,7.481
Niger,NER,1967,7.49
Niger,NER,1968,7.497
Niger,NER,1969,7.506
Niger,NER,1970,7.514
Niger,NER,1971,7.518
Niger,NER,1972,7.523
Niger,NER,1973,7.529
Niger,NER,1974,7.539
Niger,NER,1975,7.539
Niger,NER,1976,7.563
Niger,NER,1977,7.595
Niger,NER,1978,7.662
Niger,NER,1979,7.722
Niger,NER,1980,7.782
Niger,NER,1981,7.822
Niger,NER,1982,7.862
Niger,NER,1983,7.902
Niger,NER,1984,7.921
Niger,NER,1985,7.932
Niger,NER,1986,7.904
Niger,NER,1987,7.871
Niger,NER,1988,7.841
Niger,NER,1989,7.818
Niger,NER,1990,7.806
Niger,NER,1991,7.798
Niger,NER,1992,7.795
Niger,NER,1993,7.79
Niger,NER,1994,7.786
Niger,NER,1995,7.776
Niger,NER,1996,7.78
Niger,NER,1997,7.802
Niger,NER,1998,7.84
Niger,NER,1999,7.84
Niger,NER,2000,7.829
Niger,NER,2001,7.81
Niger,NER,2002,7.797
Niger,NER,2003,7.789
Niger,NER,2004,7.777
Niger,NER,2005,7.769
Niger,NER,2006,7.744
Niger,NER,2007,7.726
Niger,NER,2008,7.702
Niger,NER,2009,7.679
Niger,NER,2010,7.64
Niger,NER,2011,7.592
Niger,NER,2012,7.527
Niger,NER,2013,7.445
Niger,NER,2014,7.342
Niger,NER,2015,7.215
Niger,NER,2016,7.043
Niger,NER,2017,6.874
Niger,NER,2018,6.706
Niger,NER,2019,6.537
Niger,NER,2020,6.369
Niger,NER,2021,6.2
Niger,NER,2022,6.135
Niger,NER,2023,6.061
Norway,NOR,1953,2.637
Norway,NOR,1954,2.671
Norway,NOR,1955,2.758
Norway,NOR,1956,2.829
Norway,NOR,1957,2.824
Norway,NOR,1958,2.865
Norway,NOR,1959,2.882
Norway,NOR,1960,2.847
Norway,NOR,1961,2.915
Norway,NOR,1962,2.894
Norway,NOR,1963,2.905
Norway,NOR,1964,2.962
Norway,NOR,1965,2.925
Norway,NOR,1966,2.891
Norway,NOR,1967,2.786
Norway,NOR,1968,2.751
Norway,NOR,1969,2.697
Norway,NOR,1970,2.512
Norway,NOR,1971,2.494
Norway,NOR,1972,2.39
Norway,NOR,1973,2.234
Norway,NOR,1974,2.134
Norway,NOR,1975,1.986
Norway,NOR,1976,1.867
Norway,NOR,1977,1.759
Norway,NOR,1978,1.771
Norway,NOR,1979,1.751
Norway,NOR,1980,1.722
Norway,NOR,1981,1.701
Norway,NOR,1982,1.706
Norway,NOR,1983,1.656
Norway,NOR,1984,1.657
Norway,NOR,1985,1.675
Norway,NOR,1986,1.707
Norway,NOR,1987,1.744
Norway,NOR,1988,1.841
Norway,NOR,1989,1.887
Norway,NOR,1990,1.932
Norway,NOR,1991,1.92
Norway,NOR,1992,1.888
Norway,NOR,1993,1.865
Norway,NOR,1994,1.869
Norway,NOR,1995,1.873
Norway,NOR,1996,1.892
Norway,NOR,1997,1.86
Norway,NOR,1998,1.82
Norway,NOR,1999,1.849
Norway,NOR,2000,1.854
Norway,NOR,2001,1.788
Norway,NOR,2002,1.757
Norway,NOR,2003,1.798
Norway,NOR,2004,1.828
Norway,NOR,2005,1.835
Norway,NOR,2006,1.899
Norway,NOR,2007,1.897
Norway,NOR,2008,1.951
Norway,NOR,2009,1.974
Norway,NOR,2010,1.941
Norway,NOR,2011,1.876
Norway,NOR,2012,1.847
Norway,NOR,2013,1.779
Norway,NOR,2014,1.754
Norway,NOR,2015,1.728
Norway,NOR,2016,1.705
Norway,NOR,2017,1.624
Norway,NOR,2018,1.566
Norway,NOR,2019,1.533
Norway,NOR,2020,1.482
Norway,NOR,2021,1.56
Norway,NOR,2022,1.415
Norway,NOR,2023,1.405
Panama,PAN,1953,5.718
Panama,PAN,1954,5.725
Panama,PAN,1955,5.734
Panama,PAN,1956,5.745
Panama,PAN,1957,5.757
Panama,PAN,1958,5.763
Panama,PAN,1959,5.794
Panama,PAN,1960,5.829
Panama,PAN,1961,5.865
Panama,PAN,1962,5.872
Panama,PAN,1963,5.865
Panama,PAN,1964,5.808
Panama,PAN,1965,5.728
Panama,PAN,1966,5.649
Panama,PAN,1967,5.534
Panama,PAN,1968,5.411
Panama,PAN,1969,5.287
Panama,PAN,1970,5.175
Panama,PAN,1971,5.054
Panama,PAN,1972,4.908
Panama,PAN,1973,4.741
Panama,PAN,1974,4.576
Panama,PAN,1975,4.414
Panama,PAN,1976,4.264
Panama,PAN,1977,4.118
Panama,PAN,1978,3.984
Panama,PAN,1979,3.884
Panama,PAN,1980,3.796
Panama,PAN,1981,3.723
Panama,PAN,1982,3.659
Panama,PAN,1983,3.601
Panama,PAN,1984,3.519
Panama,PAN,1985,3.427
Panama,PAN,1986,3.339
Panama,PAN,1987,3.251
Panama,PAN,1988,3.173
Panama,PAN,1989,3.121
Panama,PAN,1990,3.072
Panama,PAN,1991,2.999
Panama,PAN,1992,2.95
Panama,PAN,1993,2.909
Panama,PAN,1994,2.877
Panama,PAN,1995,2.852
Panama,PAN,1996,2.83
Panama,PAN,1997,2.81
Panama,PAN,1998,2.789
Panama,PAN,1999,2.767
Panama,PAN,2000,2.744
Panama,PAN,2001,2.72
Panama,PAN,2002,2.698
Panama,PAN,2003,2.679
Panama,PAN,2004,2.68
Panama,PAN,2005,2.643
Panama,PAN,2006,2.62
Panama,PAN,2007,2.612
Panama,PAN,2008,2.608
Panama,PAN,2009,2.593
Panama,PAN,2010,2.587
Panama,PAN,2011,2.604
Panama,PAN,2012,2.591
Panama,PAN,2013,2.569
Panama,PAN,2014,2.552
Panama,PAN,2015,2.53
Panama,PAN,2016,2.502
Panama,PAN,2017,2.462
Panama,PAN,2018,2.402
Panama,PAN,2019,2.288
Panama,PAN,2020,2.184
Panama,PAN,2021,2.152
Panama,PAN,2022,2.139
Panama,PAN,2023,2.119
South Korea,KOR,1953,6.171
South Korea,KOR,1954,6.174
South Korea,KOR,1955,6.169
South Korea,KOR,1956,6.175
South Korea,KOR,1957,6.178
South Korea,KOR,1958,6.152
South Korea,KOR,1959,6.096
South Korea,KOR,1960,5.994
South Korea,KOR,1961,5.803
South Korea,KOR,1962,5.562
South Korea,KOR,1963,5.334
South Korea,KOR,1964,5.068
South Korea,KOR,1965,4.887
South Korea,KOR,1966,4.782
South Korea,KOR,1967,4.615
South Korea,KOR,1968,4.51
